# $Header: /cvsroot/mepfpu/src/rtl/verification/VECTORS/adds.dat,v 1.1 2002/11/21 10:57:42 sinbadw Exp $
adds n eq - 3f800000 3f800000 40000000
adds z eq - 3f800000 3f800000 40000000
adds p eq - 3f800000 3f800000 40000000
adds m eq - 3f800000 3f800000 40000000
adds n eq - bf800000 bf800000 c0000000
adds z eq - bf800000 bf800000 c0000000
adds p eq - bf800000 bf800000 c0000000
adds m eq - bf800000 bf800000 c0000000
adds n eq - 3f800000 40000000 40400000
adds n eq - 40000000 3f800000 40400000
adds z eq - 3f800000 40000000 40400000
adds z eq - 40000000 3f800000 40400000
adds p eq - 3f800000 40000000 40400000
adds p eq - 40000000 3f800000 40400000
adds m eq - 3f800000 40000000 40400000
adds m eq - 40000000 3f800000 40400000
adds n eq - bf800000 c0000000 c0400000
adds n eq - c0000000 bf800000 c0400000
adds z eq - bf800000 c0000000 c0400000
adds z eq - c0000000 bf800000 c0400000
adds p eq - bf800000 c0000000 c0400000
adds p eq - c0000000 bf800000 c0400000
adds m eq - bf800000 c0000000 c0400000
adds m eq - c0000000 bf800000 c0400000
adds n eq - 40000000 40000000 40800000
adds z eq - 40000000 40000000 40800000
adds p eq - 40000000 40000000 40800000
adds m eq - 40000000 40000000 40800000
adds n eq - 3f800000 40e00000 41000000
adds n eq - 40e00000 3f800000 41000000
adds z eq - 3f800000 40e00000 41000000
adds z eq - 40e00000 3f800000 41000000
adds p eq - 3f800000 40e00000 41000000
adds p eq - 40e00000 3f800000 41000000
adds m eq - 3f800000 40e00000 41000000
adds m eq - 40e00000 3f800000 41000000
adds n eq - bf800000 c0e00000 c1000000
adds n eq - c0e00000 bf800000 c1000000
adds z eq - bf800000 c0e00000 c1000000
adds z eq - c0e00000 bf800000 c1000000
adds p eq - bf800000 c0e00000 c1000000
adds p eq - c0e00000 bf800000 c1000000
adds m eq - bf800000 c0e00000 c1000000
adds m eq - c0e00000 bf800000 c1000000
adds n eq - 40a00000 bf800000 40800000
adds n eq - bf800000 40a00000 40800000
adds z eq - 40a00000 bf800000 40800000
adds z eq - bf800000 40a00000 40800000
adds p eq - 40a00000 bf800000 40800000
